media_id,recipe_order,compound,compound_id,amount,unit,g_l,optional,condition,mmol_l,solution,solution_id,attribute,medium,complex_compound
1,1,Peptone,1,5,g,5,0,NA,NA,NA,NA,NA,NUTRIENT AGAR,1
1,2,Meat extract,2,3,g,3,0,NA,NA,NA,NA,NA,NUTRIENT AGAR,1
1,3,Agar,3,15,g,15,0,for solid medium,NA,NA,NA,NA,NUTRIENT AGAR,1
1,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,NUTRIENT AGAR,0
65,1,Glucose,5,4,g,4,0,NA,22.2025,NA,NA,NA,GYM STREPTOMYCES MEDIUM,0
65,2,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,NA,GYM STREPTOMYCES MEDIUM,1
65,3,Malt extract,116,10,g,10,0,NA,NA,NA,NA,NA,GYM STREPTOMYCES MEDIUM,1
65,4,CaCO3,13,2,g,2,0,if required,19.982,NA,NA,NA,GYM STREPTOMYCES MEDIUM,0
65,5,Agar,3,18,g,18,0,NA,NA,NA,NA,NA,GYM STREPTOMYCES MEDIUM,1
65,6,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,GYM STREPTOMYCES MEDIUM,0
83,1,Sucrose,108,30,g,30,0,NA,87.6424,NA,NA,NA,CZAPEK PEPTONE AGAR,0
83,2,NaNO3,187,3,g,3,0,NA,35.2962,NA,NA,NA,CZAPEK PEPTONE AGAR,0
83,3,K2HPO4,10,1,g,1,0,NA,5.74132,NA,NA,NA,CZAPEK PEPTONE AGAR,0
83,4,MgSO4 x 7 H2O,8,0.5,g,0.5,0,NA,2.02859,NA,NA,NA,CZAPEK PEPTONE AGAR,0
83,5,KCl,61,0.5,g,0.5,0,NA,6.70691,NA,NA,NA,CZAPEK PEPTONE AGAR,0
83,6,FeSO4 x 7 H2O,12,0.01,g,0.01,0,NA,0.0359693,NA,NA,NA,CZAPEK PEPTONE AGAR,0
83,7,Yeast extract,16,2,g,2,0,NA,NA,NA,NA,NA,CZAPEK PEPTONE AGAR,1
83,8,Peptone,1,5,g,5,0,NA,NA,NA,NA,NA,CZAPEK PEPTONE AGAR,1
83,9,Agar,3,20,g,20,0,NA,NA,NA,NA,NA,CZAPEK PEPTONE AGAR,1
83,10,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,CZAPEK PEPTONE AGAR,0
84,1,Rolled oats,188,20,g,20,0,NA,NA,NA,NA,NA,ROLLED OATS MINERAL MEDIUM,1
84,2,Agar,3,20,g,20,0,NA,NA,NA,NA,NA,ROLLED OATS MINERAL MEDIUM,1
84,3,NA,NA,1,ml,NA,0,NA,NA,Trace element solution,147,NA,ROLLED OATS MINERAL MEDIUM,NA
84,4,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,ROLLED OATS MINERAL MEDIUM,0
214,1,Glucose,5,4,g,4,0,NA,22.2025,NA,NA,NA,GYM+S MEDIUM,0
214,2,Yeast extract,16,4,g,4,0,NA,NA,NA,NA,NA,GYM+S MEDIUM,1
214,3,Malt extract,116,10,g,10,0,NA,NA,NA,NA,NA,GYM+S MEDIUM,1
214,4,CaCO3,13,2,g,2,0,if required,19.982,NA,NA,NA,GYM+S MEDIUM,0
214,5,Agar,3,12,g,12,0,NA,NA,NA,NA,NA,GYM+S MEDIUM,1
214,6,Starch,199,20,g,20,0,NA,NA,NA,NA,NA,GYM+S MEDIUM,1
214,7,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,GYM+S MEDIUM,0
215,1,Brain heart infusion,186,37,g,37,0,NA,NA,NA,NA,Difco,BHI MEDIUM,1
215,2,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,BHI MEDIUM,0
248,1,Oat flakes,292,20,g,20,0,NA,NA,NA,NA,NA,OAT FLAKES AGAR WITH YEAST EXTRACT,1
248,2,NA,NA,1,ml,NA,0,NA,NA,Trace element solution,147,NA,OAT FLAKES AGAR WITH YEAST EXTRACT,NA
248,3,Yeast extract,16,2,g,2,0,NA,NA,NA,NA,NA,OAT FLAKES AGAR WITH YEAST EXTRACT,1
248,4,Agar,3,20,g,20,0,NA,NA,NA,NA,NA,OAT FLAKES AGAR WITH YEAST EXTRACT,1
248,5,Distilled water,4,1000,ml,NA,0,NA,NA,NA,NA,NA,OAT FLAKES AGAR WITH YEAST EXTRACT,0
251,1,Proteose peptone no. 3,316,5,g,5,0,NA,NA,NA,NA,NA,PEPTONE - MEAT EXTRACT - SOIL EXTRACT AGAR (PFE),1
251,2,Meat extract,2,3,g,3,0,NA,NA,NA,NA,NA,PEPTONE - MEAT EXTRACT - SOIL EXTRACT AGAR (PFE),1
251,3,Glycerol,72,20,g,20,0,NA,217.179,NA,NA,NA,PEPTONE - MEAT EXTRACT - SOIL EXTRACT AGAR (PFE),0
251,4,Soil extract,180,150,ml,NA,0,NA,NA,NA,NA,NA,PEPTONE - MEAT EXTRACT - SOIL EXTRACT AGAR (PFE),1
251,5,Agar,3,20,g,20,0,NA,NA,NA,NA,NA,PEPTONE - MEAT EXTRACT - SOIL EXTRACT AGAR (PFE),1
251,6,Distilled water,4,850,ml,NA,0,NA,NA,NA,NA,NA,PEPTONE - MEAT EXTRACT - SOIL EXTRACT AGAR (PFE),0
252,1,Starch,199,10,g,9.99001,0,NA,NA,NA,NA,soluble,STARCH - MINERAL SALT - AGAR (STMS),1
