plate,well,component_no,component,ot2_label,vol
P1,A1,component1,1,glucose,2
P1,C1,component1,1,glucose,2
P1,G1,component1,1,glucose,2
P1,A2,component1,1,glucose,2
P1,C2,component1,1,glucose,2
P1,E2,component1,1,glucose,2
P1,B3,component1,1,glucose,2
P1,F3,component1,1,glucose,2
P1,H3,component1,1,glucose,2
P1,B4,component1,1,glucose,2
P1,D4,component1,1,glucose,2
P1,E4,component1,1,glucose,2
P1,A5,component1,1,glucose,2
P1,E5,component1,1,glucose,2
P1,G5,component1,1,glucose,2
P1,A6,component1,1,glucose,2
P1,B6,component1,1,glucose,2
P1,D6,component1,1,glucose,2
P1,H6,component1,1,glucose,2
P1,B7,component1,1,glucose,2
P1,D7,component1,1,glucose,2
P1,F7,component1,1,glucose,2
P1,C8,component1,1,glucose,2
P1,G8,component1,1,glucose,2
P1,A9,component1,1,glucose,2
P1,C9,component1,1,glucose,2
P1,E9,component1,1,glucose,2
P1,F9,component1,1,glucose,2
P1,B10,component1,1,glucose,2
P1,F10,component1,1,glucose,2
P1,H10,component1,1,glucose,2
P1,B11,component1,1,glucose,2
P1,C11,component1,1,glucose,2
P1,E11,component1,1,glucose,2
P1,A12,component1,1,glucose,2
P1,C12,component1,1,glucose,2
P1,E12,component1,1,glucose,2
P1,E2,component4,10,peptone,2
P1,F2,component4,10,peptone,2
P1,G2,component4,10,peptone,2
P1,D4,component5,10,peptone,2
P1,E4,component5,10,peptone,2
P1,F4,component5,10,peptone,2
P1,G5,component5,10,peptone,2
P1,H5,component5,10,peptone,2
P1,A6,component5,10,peptone,2
P1,F6,component5,10,peptone,2
P1,G6,component5,10,peptone,2
P1,H6,component5,10,peptone,2
P1,A7,component5,10,peptone,2
P1,F7,component4,10,peptone,2
P1,G7,component4,10,peptone,2
P1,H7,component4,10,peptone,2
P1,E8,component6,10,peptone,2
P1,F8,component6,10,peptone,2
P1,G8,component6,10,peptone,2
P1,H8,component6,10,peptone,2
P1,E9,component6,10,peptone,2
P1,F9,component6,10,peptone,2
P1,G9,component6,10,peptone,2
P1,D10,component5,10,peptone,2
P1,E10,component5,10,peptone,2
P1,F10,component5,10,peptone,2
P1,G10,component5,10,peptone,2
P1,H10,component6,10,peptone,2
P1,A11,component6,10,peptone,2
P1,B11,component6,10,peptone,2
P1,G11,component5,10,peptone,2
P1,H11,component5,10,peptone,2
P1,A12,component5,10,peptone,2
P1,B12,component5,10,peptone,2
P1,C12,component5,10,peptone,2
P1,D12,component5,10,peptone,2
P1,E12,component5,10,peptone,2
P1,F12,component5,10,peptone,2
P1,H2,component4,11,malt_extract,2
P1,A3,component4,11,malt_extract,2
P1,B3,component4,11,malt_extract,2
P1,C3,component4,11,malt_extract,2
P1,G4,component5,11,malt_extract,2
P1,H4,component5,11,malt_extract,2
P1,A5,component5,11,malt_extract,2
P1,B5,component5,11,malt_extract,2
P1,B6,component5,11,malt_extract,2
P1,C6,component5,11,malt_extract,2
P1,D6,component5,11,malt_extract,2
P1,E6,component5,11,malt_extract,2
P1,B7,component5,11,malt_extract,2
P1,C7,component5,11,malt_extract,2
P1,D7,component5,11,malt_extract,2
P1,E7,component5,11,malt_extract,2
P1,F7,component5,11,malt_extract,2
P1,G7,component5,11,malt_extract,2
P1,H7,component5,11,malt_extract,2
P1,A9,component6,11,malt_extract,2
P1,B9,component6,11,malt_extract,2
P1,C9,component6,11,malt_extract,2
P1,D9,component6,11,malt_extract,2
P1,H9,component6,11,malt_extract,2
P1,A10,component6,11,malt_extract,2
P1,B10,component6,11,malt_extract,2
P1,C10,component6,11,malt_extract,2
P1,D10,component6,11,malt_extract,2
P1,E10,component6,11,malt_extract,2
P1,F10,component6,11,malt_extract,2
