n_media,compound,newlabel
14,Glucose,Glucose
6,CaCO3,CaCO3
1,CoCl2,CoCl2
2,Ferric ammonium citrate,Ferric ammonium citrate
1,Czapek-Dox liquid medium,Czapek-Dox liquid medium
3,Sucrose,Sucrose
1,NaNO3,NaNO3
11,K2HPO4,K2HPO4
7,MgSO4 x 7 H2O,MgSO4 x 7 H2O
1,KCl,KCl
2,FeSO4 x 7 H2O,FeSO4 x 7 H2O
2,KNO3,KNO3
6,NaCl,NaCl
3,L-Asparagine,L-Asparagine
3,Glycerol,Glycerol
2,CaCl2 x 2 H2O,CaCl2 x 2 H2O
1,Na2CO3,Na2CO3
1,(NH4)2SO4,(NH4)2SO4
2,Dextrose,Glucose
1,Dipotassium Phosphate,K2HPO4
1,Sodium Thiosulfate,Sodium Thiosulfate
1,ISP 7 Medium,ISP 7 Medium
1,Maltose,Maltose
1,FeSO4,FeSO4
1,D(+)-Glucose,Glucose
23,Yeast extract,Yeast extract
1,Bacto peptone,Bacto peptone
9,Starch,Starch
5,Beef extract,Beef extract
4,N-Z amine,N-Z amine
1,Lab-Lemco beef extract,Lab-Lemco beef extract
1,Tryptose,Tryptose
2,Brain heart infusion,Brain heart infusion
1,Columbia agar base,Columbia agar base
1,Defibrinated sheep blood,Defibrinated sheep blood
1,Dry cow-manure,Dry cow-manure
1,Casamino acids,Casamino acids
5,Peptone,Peptone
2,Casein peptone,Casein peptone
6,Malt extract,Malt extract
1,Polypeptone,Polypeptone
1,Proteose peptone,Proteose peptone
2,Meat extract,Meat extract
2,Oat flakes,Oat flakes
3,Oatmeal,Oatmeal
1,Oatmeal agar,Oatmeal
1,Proteose peptone no. 3,Proteose peptone no. 3
1,Soil extract,Soil extract
1,Corn steep liquor,Corn steep liquor
1,Potato,Potato
1,Carrot,Carrot
1,Rolled oats,Rolled oats
1,Tryptone peptone,Tryptone peptone
1,Tryptone,Tryptone
1,Casitone,Casitone
1,Trypticase soy broth,Trypticase soy broth
1,Soy peptone,Soy peptone
1,V8 canned vegetable juice,V8 canned vegetable juice
1,Yeast extract-malt extract agar,Yeast extract
8,Trace solution,Trace solution
