plate,well,component_no,component,ot2_label,vol,transfervol,cumvol
P2,E9,component4,11,malt_extract,4,2,4
P2,F9,component4,11,malt_extract,4,2,8
P2,G9,component4,11,malt_extract,4,2,12
P2,H9,component4,11,malt_extract,4,2,16
P2,A10,component4,11,malt_extract,4,2,20
P2,B10,component4,11,malt_extract,4,2,24
P2,C10,component4,11,malt_extract,4,2,28
P2,D10,component4,11,malt_extract,4,2,32
P2,E10,component4,11,malt_extract,4,2,36
P2,F10,component4,11,malt_extract,4,2,40
P2,G10,component4,11,malt_extract,4,2,44
P2,H10,component4,11,malt_extract,4,2,48
P2,A11,component4,11,malt_extract,4,2,52
P2,B11,component4,11,malt_extract,4,2,56
P2,C11,component4,11,malt_extract,4,2,60
P2,D11,component4,11,malt_extract,4,2,64
P2,E11,component4,11,malt_extract,4,2,68
P2,F11,component4,11,malt_extract,4,2,72
P2,G11,component4,11,malt_extract,4,2,76
P2,H11,component4,11,malt_extract,4,2,80
P2,A12,component4,11,malt_extract,4,2,84
P2,B12,component4,11,malt_extract,4,2,88
P2,C12,component4,11,malt_extract,4,2,92
P2,D12,component4,11,malt_extract,4,2,96
P2,E12,component4,11,malt_extract,4,2,100
P2,F12,component4,11,malt_extract,4,2,104
P2,G12,component4,11,malt_extract,4,2,108
P2,H12,component4,11,malt_extract,4,2,112
P2,C9,component3,6,glycerol,4,2,252
P2,D9,component3,6,glycerol,4,2,256
P2,B10,component1,6,glycerol,4,2,260
P2,G10,component2,6,glycerol,4,2,264
P2,C11,component2,6,glycerol,4,2,268
P2,F11,component2,6,glycerol,4,2,272
P2,H11,component2,6,glycerol,4,2,276
P2,A12,component2,6,glycerol,4,2,280
P2,E12,component3,6,glycerol,4,2,284
P2,H12,component3,6,glycerol,4,2,288
P3,A1,component4,11,malt_extract,4,2,116
P3,B1,component4,11,malt_extract,4,2,120
P3,C1,component4,11,malt_extract,4,2,124
P3,D1,component4,11,malt_extract,4,2,128
P3,E1,component4,11,malt_extract,4,2,132
P3,F1,component4,11,malt_extract,4,2,136
P3,G1,component4,11,malt_extract,4,2,140
P3,H1,component4,11,malt_extract,4,2,144
P3,A2,component4,11,malt_extract,4,2,148
P3,B2,component4,11,malt_extract,4,2,152
P3,C2,component4,11,malt_extract,4,2,156
P3,D2,component4,11,malt_extract,4,2,160
P3,E2,component4,11,malt_extract,4,2,164
P3,B1,component3,6,glycerol,4,2,292
P3,C1,component3,6,glycerol,4,2,296
P3,F1,component3,6,glycerol,4,2,300
P3,H1,component3,6,glycerol,4,2,304
P3,A2,component3,6,glycerol,4,2,308
P3,C2,component3,6,glycerol,4,2,312
P3,D2,component3,6,glycerol,4,2,316
P3,E2,component3,6,glycerol,4,2,320
P3,C3,component1,6,glycerol,4,2,324
P3,H3,component2,6,glycerol,4,2,328
P3,D4,component2,6,glycerol,4,2,332
P3,G4,component2,6,glycerol,4,2,336
P3,A5,component2,6,glycerol,4,2,340
P3,B5,component2,6,glycerol,4,2,344
P3,F5,component3,6,glycerol,4,2,348
P3,A6,component3,6,glycerol,4,2,352
P3,C6,component3,6,glycerol,4,2,356
P3,D6,component3,6,glycerol,4,2,360
P3,G6,component3,6,glycerol,4,2,364
P3,A7,component3,6,glycerol,4,2,368
P3,B7,component3,6,glycerol,4,2,372
P3,D7,component3,6,glycerol,4,2,376
P3,E7,component3,6,glycerol,4,2,380
P3,F7,component3,6,glycerol,4,2,384
P3,D8,component1,6,glycerol,4,2,388
P3,A9,component2,6,glycerol,4,2,392
P3,E9,component2,6,glycerol,4,2,396
P3,H9,component2,6,glycerol,4,2,400
P3,B10,component2,6,glycerol,4,2,404
P3,C10,component2,6,glycerol,4,2,408
P3,G10,component3,6,glycerol,4,2,412
P3,B11,component3,6,glycerol,4,2,416
P3,D11,component3,6,glycerol,4,2,420
P3,E11,component3,6,glycerol,4,2,424
P3,H11,component3,6,glycerol,4,2,428
P3,B12,component3,6,glycerol,4,2,432
P3,C12,component3,6,glycerol,4,2,436
P3,E12,component3,6,glycerol,4,2,440
P3,F12,component3,6,glycerol,4,2,444
P3,G12,component3,6,glycerol,4,2,448
P3,C5,component4,7,yeast_extract,4,2,252
P3,D5,component4,7,yeast_extract,4,2,256
P3,E5,component4,7,yeast_extract,4,2,260
P3,F5,component4,7,yeast_extract,4,2,264
P3,G5,component4,7,yeast_extract,4,2,268
P3,H5,component4,7,yeast_extract,4,2,272
P3,A6,component4,7,yeast_extract,4,2,276
P3,B6,component4,7,yeast_extract,4,2,280
P3,C6,component4,7,yeast_extract,4,2,284
P3,D6,component4,7,yeast_extract,4,2,288
P3,E6,component4,7,yeast_extract,4,2,292
